{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{clanrats}	{infantry}	3	3	6+	–	3	40	2/–	–
{stormvermin}	{infantry}	3	3	5+	–	3	55	–/2	–
{jezzails}	{infantry}	[.exp]#2/1#	3	6+	–	3	[.exp]#60#	–/2	<<jezzails>>
{plague-monks}	{infantry}	5	3	–	–	3	70	–/2	<<plague-monks>>
{rat-swarms}	{infantry}	2	3	–	–	3	25	2/–	<<rat-swarms>>
{gutter-runners}	{infantry}	3/1	3	6+	–	3	60	–/2	<<gutter-runners>>
[.exp]#{weapon-team}#	{infantry}	2/2	3	6+	–	1	25	–/2	<<weapon-team>>
{rat-ogres}	{infantry}	4	4	5+	–	3	110	–/2	–
{warp-lightning-cannon}	{artillery}	1/3	2	–	–	2	60	–/1	<<warp-lightning-cannon>>
{doom-wheel}	{machine}	5	4	4+	–	1	125	–/1	<<doom-wheel>>
{screaming-bell}	{machine}	–	4	4+	–	1	125	0–1	<<screaming-bell>>
[.exp]#{hellpit-abomination}#	{monster}	6/2	4	4+	–	1	125	–/1	<<hellpit-abomination>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{grey-seer}	{general}	+1	–	–	9	1	130	1	<<grey-seer>>
{hero}	{hero}	+1	–	–	8	1	70	–/2	–
{warlock}	{wizard}	+0	–	–	6	1	30	–/1	–
{rat-ogre-bodyguard}	{special-mount}	+1	–	–	–	–	+10	–/1	<<rat-ogre-bodyguard>>
[.exp]#{verminlord}#	{special-type}	+3	–	–	–	–	+75	0–1	<<verminlord>>
