{troop}	{type}	{attacks}	{hits}	{armour}	{command}	{unit-size}	{points-per-unit}	{min-max}	{special-rules}
{ushabti}	{infantry}	4	4	5+	–	3	110	–/1	<<ushabti-tomb-guard>>, <<ushabti>>
{tomb-guard}	{infantry}	3	3	5+	–	3	65	–/1	<<ushabti-tomb-guard>>, <<tomb-guard>>
{skeletons}	{infantry}	2	3	6+	–	3	30	2/–	–
{skeleton-bowmen}	{infantry}	2/1	3	–	–	3	45	2/–	–
{skeleton-cavalry}	{cavalry}	2	3	5+	–	3	60	–/–	–
{skeleton-chariots}	{chariot}	3/1	3	5+	–	3	110	–/3	–
{carrion}	{monster}	2	3	6+	–	3	65	–/1	<<carrion>>
{bone-giant}	{monster}	6	4	4+	–	1	110	–/1	<<bone-giant>>
{sphinx}	{monster}	4	6	3+	–	1	135	–/1	<<sphinx>>
{skull-chukka}	{artillery}	1/3	3	–	–	1	85	–/1	<<skull-chukka>>
{bone-thrower}	{artillery}	1/2	2	–	–	2	65	–/1	<<bone-thrower>>
{nbsp}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty}	{empty} 
{tomb-king}	{general}	+2	–	–	9	1	130	1	<<tomb-king>>
{liche-priest}	{wizard}	+1	–	–	8	1	90	–/2	–
{zombie-dragon}	{monstrous-mount}	+3/3	–	–	–	–	+100	–/1	<<zombie-dragon>>
{liche-chariot}	{chariot-mount}	+1	–	–	–	–	+5	–/1	<<liche-chariot>>
